Date; time; Left actuator; Right actuator
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:07; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:08; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:09; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:10; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:11; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:12; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:13; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:14; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:15; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:16; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:17; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:18; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:19; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:20; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:21; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:22; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:23; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:24; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:25; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:26; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:27; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:28; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:29; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:30; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:31; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:32; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:33; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:34; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:35; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:36; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:37; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:38; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:39; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:40; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:41; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:42; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
11.25.2015; 16:55:43; 0; 0
